Y' U D B' U' D' L D2 F2 L U' D' B' r2 U2 F' L2
Y' U D B' U' D' L D2 F2 L U' D' B' L2 D2 B' r2
Y' U D B' U' D' r F2 U2 r D' U' F' L2 U2 F' L2
Y' U D B' U' D' r F2 U2 r D' U' F' r2 D2 B' r2
Y' U2 R U' D' F' U D B2 L' D2 B2 L' U' D' B l2
Y' U2 l F' B' D' F B U2 r' U2 F2 L' D' U' F R2
Y' U2 l F' B' D' F B U2 L' B2 U2 r' D' U' F R2
Y' U2 R U' D' F' U D B2 r' B2 U2 r' D' U' F R2
Y' U' D' F U D R' U2 B2 R' U D F l2 D2 B R2
Y' U' D' F U D R' U2 B2 R' U D F R2 U2 F l2
Y' U' D' F U D l' B2 D2 l' D U B R2 D2 B R2
Y' U' D' F U D l' B2 D2 l' D U B l2 U2 F l2
Y' B2 R' U D F l2 D2 B R2 D' U' L D U F' U2
Y' B2 R' U D F R2 U2 F l2 D' U' L D U F' U2
Y' B2 l' B F U R2 B2 U R2 B' F' r D U F' U2
F' r D U F' U2
Y' B2 L' D2 B2 L' U' D' B l2 U2 F D' U' L' D U
Y' B2 r' B2 U2 r' D' U' F R2 U2 F D' U' L' D U
Y' B2 r' B2 U2 L' F' B' U R2 B2 U F' B' r' D U
Y' B2 L' D2 B2 r' F' B' U R2 B2 U F' B' r' D U
Y' F2 R U2 F2 R U D F' r2 D2 B' D U R D' U'
Y' F2 l F2 D2 l D U B' L2 D2 B' D U R D' U'
Y' F2 l F2 D2 R F B D' L2 F2 D' F B l D' U'
Y' F2 R U2 F2 l F B D' L2 F2 D' F B l D' U'
Y' F2 L U' D' B' r2 U2 F' L2 D U R' D' U' B D2
Y' F2 L U' D' B' L2 D2 B' r2 D U R' D' U' B D2
Y' F2 r B' F' D' L2 F2 D' L2 B F l' D' U' B D2
Y' F2 r B' F' D' r2 B2 U' r2 B F l' D' U' B D2
Y' D2 L' U D B U' D' F2 R U2 F2 R U D F' r2
Y' D2 r' F B U F' B' D2 l D2 B2 R D U B' L2
Y' D2 r' F B U F' B' D2 R F2 D2 l D U B' L2
Y' D2 L' U D B U' D' F2 l F2 D2 l D U B' L2
Y' B F U' B2 R' B L' B' R' r2 U' F' B D' L U B
Y' B F U' B2 l' D L' D' l' L2 U' F' B D' L U B
Y' B F U' B2 l' D L' D' R' L2 F' D' U B' r U B
Y' B F U' B2 R' B L' B' l' L2 F' D' U B' r U B
Y' B F U' B2 l' D r' B' R' r2 U' F' B D' L U B
Y' B F U' B2 R' B r' U' l' r2 U' F' B D' L U B
Y' B F U' B2 R' B r' U' R' r2 F' D' U B' r U B
Y' B F U' B2 l' D r' B' l' L2 F' D' U B' r U B
Y' B' F' D F2 L F' R F l2 L D F' B U R' D' F'
Y' B' F' D F2 r U' R U R2 r D F' B U R' D' F'
Y' B' F' D F2 r U' R U R2 L B D' U F l' D' F'
Y' B' F' D F2 L F' R F R2 r B D' U F l' D' F'
Y' B' F' D F2 r U' l F l2 L D F' B U R' D' F'
Y' B' F' D F2 L F' l D l2 r D F' B U R' D' F'
Y' B' F' D F2 L F' l D l2 L B D' U F l' D' F'
Y' B' F' D F2 r U' l F R2 r B D' U F l' D' F'
Y' R D B U' R L' D' B2 F' L' B' L F' r2 D' R L
Y' l B U F' l L' U' F2 B' L' F' L B' L2 D' R L
Y' l B U F' R r' U' F2 B' L' F' L B' L2 D' R L
Y' l B U F' R L' B' U2 D' r' F' L B' L2 D' R L
Y' l B U F' R L' B' U2 D' L' U' L D' L2 F' l L
Y' R D B U' l r' U' F2 B' L' F' L B' L2 D' R L
Y' R D B U' l L' B' U2 D' r' F' L B' L2 D' R L
Y' R D B U' l L' B' U2 D' L' U' L D' L2 F' l L
Y' R D B U' R r' B' U2 D' r' F' L B' L2 D' R L
Y' R D B U' R r' B' U2 D' L' U' L D' L2 F' l L
Y' R D B U' R L' D' B2 F' r' U' L D' L2 F' l L
Y' R D B U' R L' D' B2 F' L' B' r U' L2 B' R r
Y' l B U F' R L' B' U2 D' L' U' r F' r2 D' R L
Y' l B U F' R L' B' U2 D' L' U' L D' r2 B' R r
Y' R D B U' l L' B' U2 D' L' U' r F' r2 D' R L
Y' R D B U' l L' B' U2 D' L' U' L D' r2 B' R r
Y' R D B U' R r' B' U2 D' L' U' r F' r2 D' R L
Y' R D B U' R r' B' U2 D' L' U' L D' r2 B' R r
Y' R D B U' R L' D' B2 F' r' U' r F' r2 D' R L
Y' R D B U' R L' D' B2 F' r' U' L D' r2 B' R r
Y' R D B U' R L' D' B2 F' L' B' r U' r2 F' l L
Y' R D B U' R L' D' B2 F' L' B' L F' r2 D' l r
Y' l B U F' l r' F' D2 U' L' D' r B' L2 D' R L
Y' l B U F' l r' F' D2 U' L' D' L U' L2 B' R r
Y' l B U F' l L' U' F2 B' r' D' r B' L2 D' R L
Y' l B U F' l L' U' F2 B' r' D' L U' L2 B' R r
Y' l B U F' l L' U' F2 B' L' F' r D' L2 F' l L
Y' l B U F' l L' U' F2 B' L' F' L B' L2 D' l r
Y' l B U F' R r' U' F2 B' r' D' r B' L2 D' R L
Y' l B U F' R r' U' F2 B' r' D' L U' L2 B' R r
Y' l B U F' R r' U' F2 B' L' F' r D' L2 F' l L
Y' l B U F' R r' U' F2 B' L' F' L B' L2 D' l r
Y' l B U F' R L' B' U2 D' r' F' r D' L2 F' l L
Y' l B U F' R L' B' U2 D' r' F' L B' L2 D' l r
Y' R D B U' l r' U' F2 B' r' D' r B' L2 D' R L
Y' R D B U' l r' U' F2 B' r' D' L U' L2 B' R r
Y' R D B U' l r' U' F2 B' L' F' r D' L2 F' l L
Y' R D B U' l r' U' F2 B' L' F' L B' L2 D' l r
Y' R D B U' l L' B' U2 D' r' F' r D' L2 F' l L
Y' R D B U' l L' B' U2 D' r' F' L B' L2 D' l r
Y' R D B U' R r' B' U2 D' r' F' r D' L2 F' l L
Y' R D B U' R r' B' U2 D' r' F' L B' L2 D' l r
Y' l B U F' l r' F' D2 U' r' B' L F' r2 D' R L
Y' l B U F' l r' F' D2 U' L' D' L U' r2 F' l L
Y' l B U F' l L' U' F2 B' r' D' L U' r2 F' l L
Y' l B U F' l L' U' F2 B' L' F' r D' r2 B' R r
